"CLASS","SUBCLASS","MANUF"
"New",NULL,"GOG"
"New",NULL,"Gong I.O Lt"
"New",NULL,"Google"
"New",NULL,"Guestfolio"
"New",NULL,"Heap Analyt"
"New",NULL,"Hetzner"
"New",NULL,"HG Data Com"
"New",NULL,"Hibu"
"New",NULL,"Highspot  I"
"New",NULL,"HIRSCHMANN"
"New",NULL,"HP"
"New",NULL,"HUAWEI"
"New",NULL,"HubSpot"
"New",NULL,"IBM"
"New",NULL,"IGEL"
"New",NULL,"Imperva"
"New",NULL,"Improve Dig"
"New",NULL,"Incapsula"
"New",NULL,"Infoblox"
"New",NULL,"InfoFlo"
"New",NULL,"Informatica"
"New",NULL,"InsideSales"
"New",NULL,"Insightly"
"New",NULL,"InStream.io"
"New",NULL,"INTERNAP"
"New",NULL,"Inter-Tel"
"New",NULL,"IPLANET"
"New",NULL,"Ipswitch"
"New",NULL,"Issuu  Inc."
"New",NULL,"JBMC Softwa"
"New",NULL,"JDA-SFTWR"
"New",NULL,"Joyent"
"New",NULL,"JUNIPER"
"New",NULL,"JW Player"
"New",NULL,"Karmak"
"New",NULL,"Kerio"
"New",NULL,"Kofax"
"New",NULL,"Lead Forens"
"New",NULL,"Lijit"
"New",NULL,"LiveChat  I"
"New",NULL,"Magento"
"New",NULL,"Mailgun Tec"
"New",NULL,"Marketcircl"
"New",NULL,"Marketo"
"New",NULL,"MarketSharp"
"New",NULL,"McAfee"
"New",NULL,"mediaelemen"
"New",NULL,"Method Inte"
"New",NULL,"Microsoft"
"New",NULL,"MindTickle"
"New",NULL,"MITSUBISHI"
"New",NULL,"Mothernode"
"New",NULL,"MOTOROLA"
"New",NULL,"Namecheap"
"New",NULL,"NEC"
"New",NULL,"Netatalk"
"New",NULL,"netBSD"
"New",NULL,"NetWin"
"New",NULL,"Network Sol"
"New",NULL,"NLnet Labs"
"New",NULL,"Node.js"
"New",NULL,"NOKIA"
"New",NULL,"NoSQL"
"New",NULL,"NuanceComms"
"New",NULL,"Nutshell CR"
"New",NULL,"Odoo"
"New",NULL,"Open-Text"
"New",NULL,"Oracle"
"New",NULL,"ORANGE"
"New",NULL,"OSIRIS"
"New",NULL,"Outreach  I"
"New",NULL,"ownerIQ"
"New",NULL,"Oxid"
"New",NULL,"PaloAltoNet"
"New",NULL,"PANASONIC"
"New",NULL,"Pantheon Sy"
"New",NULL,"PegaSys"
"New",NULL,"Pendo"
"New",NULL,"Pennant Gro"
"New",NULL,"Perl"
"New",NULL,"PHILIPS"
"New",NULL,"PhoneBurner"
"New",NULL,"Phusion"
"New",NULL,"Pipeliner"
"New",NULL,"Plesk"
"New",NULL,"Plex Sys"
"New",NULL,"POLYCOM"
"New",NULL,"POWr Inc."
"New",NULL,"Prospect.io"
"New",NULL,"ProsperWork"
"New",NULL,"QNX"
"New",NULL,"RawGit"
"New",NULL,"RED-HAT"
"New",NULL,"Repsly"
"New",NULL,"RhythmOne"
"New",NULL,"Rocket Scie"
"New",NULL,"Sage"
"New",NULL,"Sailpoint"
"New",NULL,"Salesforce"
"New",NULL,"Salesnet"
"New",NULL,"SAP"
"New",NULL,"SAS"
"New",NULL,"Seismic Sof"
"New",NULL,"Sendbloom"
"New",NULL,"SHOUTcast"
"New",NULL,"Showpad Nv"
"New",NULL,"Signal Digi"
"New",NULL,"Simpleview"
"New",NULL,"SITEGROUND"
"New",NULL,"Siteimprove"
"New",NULL,"Sizmek"
"New",NULL,"Slack Techn"
"New",NULL,"SmarterTool"
"New",NULL,"SONICWALL"
"New",NULL,"SONY"
"New",NULL,"SpotX"
"New",NULL,"Streak"
"New",NULL,"Sucuri Inc."
"New",NULL,"Sumo Group"
"New",NULL,"SUPER-MICRO"
"New",NULL,"Symantec"
"New",NULL,"Synology"
"New",NULL,"Tableau"
"New",NULL,"Tapad  Inc."
"New",NULL,"Tawk.To Lim"
"New",NULL,"Technology"
"New",NULL,"Temelio"
"New",NULL,"Tempest Int"
"New",NULL,"Teradata"
"New",NULL,"The jQuery"
"New",NULL,"The Trade D"
"New",NULL,"ThomsnRetrs"
"New",NULL,"Tiandy Tech"
"New",NULL,"Tour de For"
"New",NULL,"TransIP-Glo"
"New",NULL,"Tridium"
"New",NULL,"TWITTER"
"New",NULL,"UKFAST"
"New",NULL,"University"
"New",NULL,"Validity  I"
"New",NULL,"VanDyke Sof"
"New",NULL,"vCita  Inc."
"New",NULL,"Veritas"
"New",NULL,"VERIZON"
"New",NULL,"VIEWSONIC"
"New",NULL,"Virtustream"
"New",NULL,"VMware"
"New",NULL,"Web.com Gro"
"New",NULL,"Weebly"
"New",NULL,"Winshuttle"
"New",NULL,"WiredMinds"
"New",NULL,"WolterKluwr"
"New",NULL,"Workbooks O"
"New",NULL,"WORKDAY"
"New",NULL,"WPEngine  I"
"New",NULL,"Xaxis  LLC"
"New",NULL,"Xfinity"
"New",NULL,"Yoast B.V"
"New",NULL,"Yonyou Soft"
"New",NULL,"Zenedge Llc"
"New",NULL,"ZenLeads  I"
"New",NULL,"zoho"
"New",NULL,"Zynbit.com"
"New",NULL,"ZYXEL"
"NLV","NLV","Piwik"
"NLV","NLV","RealFlow"
"NLV","NLV","Red-Hat"
"NTL","NETLN","UNSPECIFIED"
"Off","App D","SmartDraw"
"Off","App D","SmugMug"
"Off","App D","STARFIELD"
"Off","App D","Zenfolio"
"Off","Enter","Microsoft"
"Off","Photo","FLICKR"
"Off","Sound","Locu  Inc."
"OPR","DTPRG","GeneralTech"
"OPR","OPR","Apache-Soft"
"OPR","OPR","APPLE"
"OPR","OPR","Apple"
"OPR","OPR","ARGUS"
"OPR","OPR","BULL"
"OPR","OPR","Canonical"
"OPR","OPR","Cisco"
"OPR","OPR","F5-NETWORKS"
"OPR","OPR","Freebsd"
"OPR","OPR","GeneralTech"
"OPR","OPR","HP"
"OPR","OPR","IBM"
"OPR","OPR","Jetbrains"
"OPR","OPR","Juniper"
"OPR","OPR","LINUX"
"OPR","OPR","MICROSOFT"
"OPR","OPR","Microsoft"
"OPR","OPR","MyEclipse"
"OPR","OPR","Net"
"OPR","OPR","NOVELL"
"OPR","OPR","OpenBSD"
"OPR","OPR","OpenGroup"
"OPR","OPR","OpenSource"
"OPR","OPR","Oracle"
"OPR","OPR","OTHER"
"OPR","OPR","Perl"
"OPR","OPR","PHP"
"OPR","OPR","Python"
"OPR","OPR","RED-HAT"
"OPR","OPR","Red-Hat"
"OPR","OPR","SAMSUNG"
"OPR","OPR","SCO"
"OPR","OPR","SGI"
"OPR","OPR","SUSE"
"OPR","OPR","TestNG"
"OPR","OPR","UBUNTU"
"OPR","OPR","UNISYS"
"OPR","OPR","WatchGuard"
"OPR","OPR","Whamcloud"
"OPR","OPR","WindRiver"
"OPR","OSPR","Microsoft"
"PBX","PBX","AVAYA"
"PBX","PBX","CISCO"
"PBX","PBX","MITEL"
"PBX","PBX","Nortel"
"PBX","PBX","PANASONIC"
"PBX","PBX","SHORETEL"
"PRG","ACERP","ACCPAC"
"PRG","ACERP","AMERICAN"
"PRG","ACERP","DELTEK"
"PRG","ACERP","HP"
"PRG","ACERP","IBM"
"PRG","ACERP","INTEGRAL"
"PRG","ACERP","LAWSON"
"PRG","ACERP","MAPICS"
"PRG","ACERP","MICROSOFT"
"PRG","ACERP","ORACLE"
"PRG","ACERP","OTHER"
"PRG","ACERP","PEACHTREE"
"PRG","ACERP","PEOPLESOFT"
"PRG","ACERP","PROFITKEY"
"PRG","ACERP","SAGE"
"PRG","ACERP","SAP"
"PRG","ACERP","SIEMENS"
"PRG","ACERP","TIMBERLINE"
"PRG","ACPRG","ACCESS"
"PRG","ACPRG","Aria Sys"
"PRG","ACPRG","Avaloq"
"PRG","ACPRG","Blackline"
"PRG","ACPRG","Bloomberg"
"PRG","ACPRG","BNA"
"PRG","ACPRG","Cforia"
"PRG","ACPRG","Cobis"
"PRG","ACPRG","COGNOS"
"PRG","ACPRG","CSC"
"PRG","ACPRG","Deltek"
"PRG","ACPRG","Eze Castle"
"PRG","ACPRG","FINFORCE"
"PRG","ACPRG","Fiserv"
"PRG","ACPRG","FreshBooks"
"PRG","ACPRG","Fundtech"
"PRG","ACPRG","HIS"
"PRG","ACPRG","HYPERION"
"PRG","ACPRG","IBM"
"PRG","ACPRG","INFOSYS-INT"
"PRG","ACPRG","Intacct"
"PRG","ACPRG","INTUIT"
"PRG","ACPRG","Intuit"
"PRG","ACPRG","Jack-Henry"
"PRG","ACPRG","Oracle"
"PRG","ACPRG","Paladyne"
"PRG","ACPRG","RADIUS"
"PRG","ACPRG","ReadSoft"
"PRG","ACPRG","Sage"
"PRG","ACPRG","SAP"
"PRG","ACPRG","SimCorp"
"PRG","ACPRG","SSC"
"PRG","ACPRG","SunGard"
"PRG","ACPRG","Tamarac"
"PRG","ACPRG","ThomsnRetrs"
"PRG","ACPRG","Trintech"
"PRG","ACPRG","Vertex"
"PRG","ACPRG","Workday"
"PRG","ACPRG","Zuora"
"PRG","APPRG","APACHE"
"PRG","APPRG","HAProxy"
"PRG","APPRG","ORACLE"
"PRG","APPRG","ORION"
"PRG","APPRG","RED-HAT"
"PRG","APPRG","Squid"
"PRG","APPRG","Varnish Sof"
"PRG","APPRG","WatchGuard"
"PRG","ASPRG","Adobe"
"PRG","ASPRG","ALTIRIS"
"PRG","ASPRG","AssetWorks"
"PRG","ASPRG","AVTECH"
"PRG","ASPRG","Azteca Sys"
"PRG","ASPRG","Bigfoot"
"PRG","ASPRG","COGZ Sys"
"PRG","ASPRG","HP"
"PRG","ASPRG","IBM"
"PRG","ASPRG","INFOR"
"PRG","ASPRG","Infor"
"PRG","ASPRG","MainConnect"
"PRG","ASPRG","NOVELL"
"PRG","ASPRG","Oracle"
"PRG","ASPRG","REMEDY"
"PRG","ASPRG","Sage"
"PRG","ASPRG","SAP"
"PRG","ASPRG","ServiceNow"
"PRG","ASPRG","SunGard"
"PRG","ASPRG","Symantec"
"PRG","ASPRG","Ventyx Inc"
"PRG","AVPRG","Accertify"
"PRG","AVPRG","Acunetix"
"PRG","AVPRG","Akamai"
"PRG","AVPRG","AlertLogic"
"PRG","AVPRG","Amazon"
"PRG","AVPRG","AppRiver"
"PRG","AVPRG","Atlassian"
"PRG","AVPRG","Avecto"
"PRG","AVPRG","Aveksa"
"PRG","AVPRG","AVG"
"PRG","AVPRG","Barracuda"
"PRG","AVPRG","BeyondTrust"
"PRG","AVPRG","Bit9"
"PRG","AVPRG","Bitdefender"
"PRG","AVPRG","Centrify"
"PRG","AVPRG","Cenzic"
"PRG","AVPRG","Checkmarx"
"PRG","AVPRG","CheckPoint"
"PRG","AVPRG","Cisco"
"PRG","AVPRG","Courion"
"PRG","AVPRG","CyberArk"
"PRG","AVPRG","Cyberoam"
"PRG","AVPRG","Damballa"
"PRG","AVPRG","Dell"
"PRG","AVPRG","Druva"
"PRG","AVPRG","EMC"
"PRG","AVPRG","ESET"
"PRG","AVPRG","Exostar"
"PRG","AVPRG","FireEye"
"PRG","AVPRG","ForeScout"
"PRG","AVPRG","ForgeRock"
"PRG","AVPRG","Fortinet"
"PRG","AVPRG","Gemalto"
"PRG","AVPRG","Genetec"
"PRG","AVPRG","GrdinnAlytc"
"PRG","AVPRG","HiSoft"
"PRG","AVPRG","HP"
"PRG","AVPRG","IBM"
"PRG","AVPRG","Imperva"
"PRG","AVPRG","Iovation"
"PRG","AVPRG","Juniper"
"PRG","AVPRG","KASPERSKY"
